id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
311,lobby,49,2,0,0,827.39,0,8205.12,3030.33,379.5,8935,24.5,35
312,lobby,49,3,0,0,710.19,0,7892.59,2988.16,372,8845,32,35
313,lobby,50,1,0,0,729.61,0,7867.27,2848.08,337,9019,26,31.5
314,lobby,50,2,0,0,783.95,0,7623.64,2655.11,274,8986,25,30
315,lobby,50,3,0,0,793.56,0,8025.41,2637.24,277,8727,23,29
316,lobby,51,1,0,0,723.72,0,7751.47,2678.7,342,9349,28,32
317,lobby,51,2,0,0,787.88,0,8005.48,2745.16,370,9572,25,31
318,lobby,51,3,0,0,785.7,0,8007.97,2767.32,335,9566,26,32
319,lobby,52,1,0,0,711.06,0,7909.19,3180.42,386,9809,27,36
320,lobby,52,2,0,0,1011.37,0,8518.49,3511.32,396,9789,25,35
321,lobby,52,3,0,0,866.45,0,8272.78,3461.29,379,10032,25,31
322,lobby,53,1,0,0,809.27,193,7696.69,3000.31,302,9605,26,37
323,lobby,53,2,0,0,824.99,0,7819.54,3003.17,312,9293,29,33
324,lobby,53,3,0,0,824.11,0,7827.84,2991.73,307,9366,30,36
325,lobby,54,1,0,0,865.58,0,7943.23,3286.91,290,9813,26,35
326,lobby,54,2,0,0,758.64,0,7888.44,3221.15,309,9431,24,30
327,lobby,54,3,0,0,907.05,172,8252.85,3383.39,312,10178,25,33
328,lobby,55,1,0,0,873,0,8429.67,3588.51,444,12205,28,36
329,lobby,55,2,0,0,868.64,0,8482.79,3474.16,480,12261,31,35
330,lobby,55,3,0,0,814.95,0,8379.86,3487.02,458,11586,30,33
331,lobby,56,1,0,0,1158.47,0,8823.96,4048.78,657,12669,28,38
332,lobby,56,2,0,0,1227.87,201,8900.33,3975.88,602,11950,34,37
333,lobby,56,3,0,0,942.4,0,8845.55,4110.24,594,12079,28,41
334,lobby,57,1,0,0,897.44,171,10096.51,3820.07,439,10363,30,38
335,lobby,57,2,0,0,855.1,0,9328.66,3542.05,449,10051,29,33
336,lobby,57,3,0,0,873.87,0,9867.4,3742.88,440,10540,28,35
337,lobby,58,1,0,0,510.27,1283,9035.64,3917.27,270,8775,24,30
338,lobby,58,2,0,0,613.28,1392,9170.11,3734.31,240,8855,20,30
339,lobby,58,3,0,0,615.47,1227,8989.98,3812.21,268,8445,26,28
340,lobby,59,1,0,0,680.94,195,9691.42,3452.72,287,9071,29,30
341,lobby,59,2,0,0,595.39,249,8961.76,3182.56,272,8556,28,31
342,lobby,59,3,0,0,565.7,179,9282.18,3226.16,300,9026,25,32
343,lobby,60,1,0,0,666.97,0,8724.35,2760.17,268,8773,23,31
344,lobby,60,2,0,0,676.58,0,8850.53,2847.36,273,8393,24,31
345,lobby,60,3,0,0,714.99,0,8697.79,2933.13,278,8874,26,29
346,werner,1,1,0,0,683.56,0,7036.76,2279.89,257,8367,30,33
347,werner,1,2,0,0,674.83,0,6852.48,2169.83,281,8456,28,28
348,werner,1,3,0,0,731.14,0,6901.45,2139.81,281,8335,26,33
349,werner,2,1,0,0,713.68,0,7654.35,2577.92,175,8092,28,28
